id,county,population,population density,0-19,20-34,35-64,over 65
1,Albany,315374,591.7,70272,74150,114820,56132
2,Allegany,47027,45.5,12678,8956,16114,9279
3,Bronx,1419250,24712.7,384938,312088,524522,197702
4,Broome,197738,276.6,46815,42245,69305,39373
5,Cattaraugus,76479,58.4,18939,12970,29068,15502
6,Cayuga,75464,87.3,16392,13486,30077,15509
7,Chautauqua,126329,84.2,29948,22024,47882,26475
8,Chemung,82805,201.6,19690,14771,31848,16496
9,Chenango,46685,51.9,10622,7522,18422,10119
10,Clinton,78961,70.6,17227,16349,30938,14447
11,Columbia,61245,94.5,10914,9669,25094,15568
12,Cortland,46401,92.4,11747,10598,16287,7769
13,Delaware,44551,30.3,8780,6906,17423,11442
14,Dutchess,297144,360.2,65092,56265,120424,55363
15,Erie,950044,774.3,217349,192396,361623,178676
16,Essex,37077,19.4,6510,5889,15153,9525
17,Franklin,47066,27.7,10772,8782,18610,8902
18,Fulton,52787,99,11674,8726,21641,10746
19,Genesee,57943,119.5,13000,10556,23018,11369
20,Greene,47554,72.3,8509,8475,19421,11149
21,Hamilton,5102,2.8,747,604,2080,1671
22,Herkimer,59932,41.1,13755,9746,23486,12945
23,Jefferson,116130,62.5,30755,30163,38214,16998
24,Kings,2646306,27309.7,645834,618210,986192,396070
25,Lewis,26618,20.6,6693,4375,10263,5287
26,Livingston,61588,96.2,13929,12388,23281,11990
27,Madison,67572,102.1,16103,12364,25772,13333
28,Monroe,754068,552,178595,153696,284025,137752
29,Montgomery,49461,120.6,12626,8687,18772,9376
30,Nassau,1388138,3064.3,332850,245788,556212,253288
31,New York,1627788,48202.2,263809,446561,628078,289340
32,Niagara,211341,185.4,46999,38027,83702,42613
33,Oneida,229645,189.3,55913,42598,86598,44536
34,Onondaga,471611,585.1,115898,92487,177445,85781
35,Ontario,112405,169.8,25001,19210,44003,24191
36,Orange,403840,481.3,116540,76586,152769,57945
37,Orleans,39686,48.6,8402,7248,16494,7542
38,Oswego,117945,89.9,29508,22050,45812,20575
39,Otsego,59738,59.6,13478,12985,20575,12700
40,Putnam,97988,398.3,21267,16593,41807,18321
41,Queens,2330124,13070,505920,480489,943935,399780
42,Rensselaer,160341,241.1,36425,32630,62636,28650
43,Richmond,492734,4807.2,118343,94264,197224,82903
44,Rockland,338936,1703.2,108700,60482,116919,52835
45,St. Lawrence,107796,38.2,27381,21237,39364,19814
46,Saratoga,237075,280.9,51368,41471,98289,45947
47,Schenectady,159603,760,38992,31667,60853,28091
48,Schoharie,29979,47.9,6543,5047,11405,6984
49,Schuyler,17749,51.9,3714,2655,7385,3995
50,Seneca,33125,101.9,7432,6021,12790,6882
51,Steuben,93034,66.3,21942,15904,36293,18895
52,Suffolk,1525680,642.9,358392,282029,618726,266533
53,Sullivan,79147,79.4,18968,14010,31111,15058
54,Tioga,48106,92,10937,7656,19310,10203
55,Tompkins,102879,216.1,25697,28032,32656,16494
56,Ulster,182109,156.9,36559,33918,73825,37807
57,Warren,65560,75.4,12849,11005,26252,15454
58,Washington,60883,72,12464,10515,25186,12718
59,Wayne,91128,65.8,21046,15056,36636,18390
60,Westchester,996888,1993.8,240386,173606,406268,176628
61,Wyoming,39980,67.1,8165,7329,16550,7936
62,Yates,24637,65.5,6314,4325,8606,5392
